 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
כפר טרומן, 0000673, 0000533, 0000445, 0000002, 0000443, 0000137, 0000004, 0000001, 0000000, 0000000, 0000003, 0000012, 0000000, 0000000, 0000000, 0000000, 0000062, 0000006, 0000104, 0000023, 0000000, 0000000, 0000000, 0000000, 0000077, 0000000, 0000000, 0000006, 0000006, 0000001, 0000001
כפר יאסיף, 0000507, 0007148, 0005117, 0000032, 0005085, 0000147, 0000007, 0004517, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000001, 0000032, 0000071, 0000079, 0000165, 0000000, 0000000, 0000002, 0000007, 0000014, 0000001, 0000000, 0000010, 0000001, 0000001, 0000015
כפר ידידיה, 0000233, 0000489, 0000399, 0000001, 0000398, 0000244, 0000000, 0000001, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000019, 0000002, 0000024, 0000031, 0000000, 0000000, 0000000, 0000000, 0000062, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000
כפר יהושע, 0000140, 0000707, 0000587, 0000002, 0000585, 0000373, 0000000, 0000000, 0000000, 0000000, 0000000, 0000018, 0000000, 0000000, 0000000, 0000000, 0000016, 0000008, 0000030, 0000059, 0000001, 0000000, 0000000, 0000000, 0000066, 0000000, 0000000, 0000012, 0000001, 0000000, 0000001
כפר יונה, 0000168, 0013798, 0010566, 0000083, 0010483, 0002568, 0000062, 0000005, 0000000, 0000000, 0000000, 0000607, 0000000, 0000000, 0000000, 0000000, 0001373, 0000272, 0002931, 0000284, 0000003, 0000002, 0000001, 0000001, 0001563, 0000002, 0000002, 0000167, 0000246, 0000006, 0000388
כפר יחזקאל, 0000085, 0000671, 0000555, 0000005, 0000550, 0000326, 0000000, 0000003, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000039, 0000003, 0000048, 0000020, 0000000, 0000000, 0000000, 0000000, 0000069, 0000000, 0000000, 0000018, 0000002, 0000001, 0000001
כפר יעבץ, 0000170, 0000463, 0000376, 0000002, 0000374, 0000008, 0000011, 0000001, 0000000, 0000000, 0000000, 0000087, 0000000, 0000000, 0000000, 0000000, 0000043, 0000003, 0000162, 0000004, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000010, 0000013, 0000000, 0000028
כפר כמא, 0000508, 0002361, 0001111, 0000028, 0001083, 0000578, 0000001, 0000144, 0000000, 0000001, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000113, 0000001, 0000057, 0000098, 0000001, 0000000, 0000000, 0000016, 0000051, 0000001, 0000001, 0000010, 0000000, 0000000, 0000005
כפר כנא, 0000509, 0012582, 0008804, 0000047, 0008757, 0000332, 0000000, 0008097, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000002, 0000039, 0000064, 0000027, 0000064, 0000001, 0000000, 0000004, 0000031, 0000004, 0000000, 0000005, 0000001, 0000004, 0000004, 0000075
כפר מונש, 0000387, 0000618, 0000491, 0000003, 0000488, 0000276, 0000000, 0000001, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000027, 0000002, 0000030, 0000056, 0000000, 0000000, 0000001, 0000000, 0000081, 0000000, 0000001, 0000003, 0000000, 0000002, 0000000
כפר מימון, 0001095, 0000355, 0000303, 0000000, 0000303, 0000010, 0000001, 0000000, 0000000, 0000000, 0000000, 0000173, 0000000, 0000000, 0000000, 0000000, 0000009, 0000001, 0000082, 0000001, 0000001, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000001, 0000018, 0000000, 0000000
כפר מל"ל, 0000098, 0000288, 0000239, 0000003, 0000236, 0000116, 0000000, 0000003, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000000, 0000010, 0000001, 0000033, 0000024, 0000000, 0000000, 0000000, 0000000, 0000033, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000
כפר מנדא, 0000510, 0010484, 0008062, 0000125, 0007937, 0000572, 0000000, 0006505, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000003, 0000019, 0000002, 0000060, 0000107, 0000001, 0000000, 0000002, 0000029, 0000003, 0000000, 0000003, 0000003, 0000010, 0000001, 0000610
כפר מנחם, 0000274, 0000789, 0000619, 0000002, 0000617, 0000300, 0000000, 0000004, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000029, 0000003, 0000020, 0000140, 0000000, 0000000, 0000000, 0000000, 0000099, 0000000, 0000000, 0000010, 0000000, 0000000, 0000001
כפר מסריק, 0000297, 0000519, 0000388, 0000002, 0000386, 0000217, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000003, 0000009, 0000013, 0000104, 0000000, 0000000, 0000000, 0000001, 0000030, 0000000, 0000000, 0000003, 0000000, 0000000, 0000001
כפר מצר, 0000512, 0001535, 0000941, 0000025, 0000916, 0000072, 0000000, 0000774, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000001, 0000031, 0000010, 0000000, 0000000, 0000001, 0000018, 0000001, 0000000, 0000001, 0000000, 0000000, 0000000, 0000002
כפר מרדכי, 0000764, 0000428, 0000344, 0000002, 0000342, 0000192, 0000002, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000014, 0000002, 0000023, 0000026, 0000000, 0000000, 0000000, 0000000, 0000073, 0000000, 0000000, 0000005, 0000000, 0000000, 0000001
כפר נטר, 0000316, 0000693, 0000561, 0000000, 0000561, 0000293, 0000000, 0000002, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000034, 0000005, 0000060, 0000055, 0000000, 0000000, 0000000, 0000000, 0000094, 0000000, 0000000, 0000005, 0000001, 0000000, 0000001
כפר סאלד, 0000345, 0000443, 0000333, 0000000, 0000333, 0000228, 0000000, 0000001, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000011, 0000001, 0000009, 0000040, 0000000, 0000000, 0000000, 0000000, 0000023, 0000000, 0000000, 0000012, 0000000, 0000000, 0000000
כפר סבא, 0006900, 0075994, 0056929, 0000452, 0056477, 0019732, 0000355, 0000110, 0000001, 0000001, 0000015, 0003148, 0000004, 0000004, 0000000, 0000002, 0004452, 0001912, 0012364, 0003380, 0000033, 0000006, 0000002, 0000001, 0008086, 0000008, 0000033, 0000648, 0000771, 0000035, 0001374
כפר סילבר, 0000107, 0000091, 0000051, 0000000, 0000051, 0000011, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000002, 0000002, 0000014, 0000005, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000001, 0000001, 0000000, 0000002
כפר סירקין, 0000249, 0000847, 0000674, 0000003, 0000671, 0000335, 0000001, 0000002, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000040, 0000002, 0000083, 0000046, 0000000, 0000000, 0000000, 0000000, 0000125, 0000000, 0000000, 0000009, 0000005, 0000000, 0000006
כפר עזה, 0000845, 0000674, 0000509, 0000000, 0000509, 0000326, 0000000, 0000001, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000000, 0000019, 0000004, 0000019, 0000060, 0000000, 0000000, 0000000, 0000001, 0000045, 0000000, 0000001, 0000009, 0000003, 0000000, 0000002
כפר עציון, 0003488, 0000421, 0000337, 0000000, 0000337, 0000012, 0000000, 0000000, 0000000, 0000000, 0000000, 0000211, 0000000, 0000000, 0000000, 0000000, 0000016, 0000001, 0000069, 0000004, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000003, 0000011, 0000000, 0000001
כפר פינס, 0000189, 0000348, 0000298, 0000001, 0000297, 0000006, 0000002, 0000000, 0000000, 0000000, 0000000, 0000176, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000054, 0000002, 0000003, 0000000, 0000001, 0000000, 0000008, 0000000, 0000000, 0000001, 0000029, 0000000, 0000002
כפר קאסם, 0000634, 0010851, 0007627, 0000044, 0007583, 0000096, 0000002, 0006075, 0000002, 0000000, 0000001, 0000007, 0000000, 0000000, 0000000, 0000014, 0000013, 0000003, 0000034, 0001278, 0000000, 0000000, 0000002, 0000034, 0000001, 0000000, 0000004, 0000004, 0000004, 0000001, 0000008
כפר קיש, 0000388, 0000374, 0000278, 0000002, 0000276, 0000149, 0000000, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000000, 0000000, 0000000, 0000016, 0000002, 0000034, 0000018, 0000000, 0000001, 0000000, 0000000, 0000038, 0000000, 0000000, 0000003, 0000000, 0000000, 0000002
כפר קרע, 0000654, 0011227, 0008379, 0000059, 0008320, 0000093, 0000001, 0007843, 0000000, 0000000, 0000001, 0000002, 0000000, 0000001, 0000000, 0000041, 0000125, 0000002, 0000026, 0000135, 0000000, 0000000, 0000002, 0000035, 0000001, 0000002, 0000000, 0000002, 0000000, 0000001, 0000007
כפר ראש הנקרה, 0000579, 0000895, 0000668, 0000002, 0000666, 0000360, 0000000, 0000000, 0000000, 0000000, 0000002, 0000027, 0000000, 0000000, 0000000, 0000000, 0000046, 0000006, 0000081, 0000035, 0000000, 0000000, 0000000, 0000000, 0000087, 0000000, 0000000, 0000010, 0000001, 0000002, 0000009
כפר רוזנואלד (זרע, 0001130, 0000198, 0000148, 0000000, 0000148, 0000019, 0000001, 0000000, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000000, 0000019, 0000001, 0000069, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000003, 0000003, 0000000, 0000017
כפר רופין, 0000295, 0000396, 0000268, 0000000, 0000268, 0000168, 0000000, 0000001, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000010, 0000003, 0000015, 0000022, 0000000, 0000000, 0000000, 0000000, 0000031, 0000000, 0000000, 0000006, 0000001, 0000000, 0000000
כפר רות, 0001166, 0000180, 0000156, 0000000, 0000156, 0000047, 0000002, 0000000, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000000, 0000000, 0000029, 0000000, 0000017, 0000013, 0000000, 0000001, 0000000, 0000000, 0000023, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000
כפר שמאי, 0000605, 0000299, 0000224, 0000000, 0000224, 0000014, 0000011, 0000000, 0000000, 0000000, 0000000, 0000033, 0000000, 0000001, 0000000, 0000000, 0000028, 0000002, 0000097, 0000001, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000001, 0000001, 0000011, 0000000, 0000019
כפר שמואל, 0000743, 0000529, 0000437, 0000005, 0000432, 0000193, 0000001, 0000002, 0000000, 0000000, 0000000, 0000016, 0000000, 0000000, 0000000, 0000000, 0000033, 0000006, 0000056, 0000041, 0000001, 0000000, 0000000, 0000000, 0000073, 0000000, 0000001, 0000004, 0000000, 0000000, 0000005
כפר שמריהו, 0000267, 0001762, 0001207, 0000009, 0001198, 0000636, 0000006, 0000004, 0000000, 0000000, 0000000, 0000029, 0000000, 0000000, 0000000, 0000000, 0000040, 0000009, 0000157, 0000102, 0000000, 0000000, 0000000, 0000000, 0000194, 0000000, 0000000, 0000011, 0000008, 0000000, 0000002
כפר תבור, 0000047, 0002785, 0002097, 0000003, 0002094, 0000852, 0000005, 0000006, 0000000, 0000000, 0000000, 0000144, 0000000, 0000000, 0000000, 0000000, 0000163, 0000028, 0000413, 0000096, 0000000, 0000000, 0000000, 0000002, 0000324, 0000000, 0000000, 0000022, 0000020, 0000003, 0000016
כפר תפוח, 0003572, 0000490, 0000372, 0000001, 0000371, 0000001, 0000002, 0000000, 0000000, 0000000, 0000000, 0000146, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000097, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000114, 0000000, 0000011
כרכום, 0001285, 0000443, 0000337, 0000002, 0000335, 0000134, 0000002, 0000000, 0000000, 0000000, 0000000, 0000028, 0000000, 0000000, 0000000, 0000000, 0000030, 0000002, 0000056, 0000017, 0000000, 0000000, 0000000, 0000000, 0000057, 0000000, 0000000, 0000005, 0000000, 0000000, 0000004
כרם בן זמרה, 0000664, 0000364, 0000288, 0000000, 0000288, 0000033, 0000005, 0000000, 0000000, 0000000, 0000000, 0000039, 0000000, 0000000, 0000000, 0000000, 0000028, 0000006, 0000127, 0000000, 0000001, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000009, 0000003, 0000000, 0000022
כרם יבנה (ישיבה), 0001094, 0000162, 0000147, 0000000, 0000147, 0000000, 0000012, 0000000, 0000000, 0000000, 0000000, 0000076, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000055, 0000000, 0000000
כרם מהר"ל, 0000580, 0000598, 0000478, 0000000, 0000478, 0000221, 0000001, 0000002, 0000000, 0000000, 0000000, 0000024, 0000000, 0000000, 0000000, 0000000, 0000033, 0000004, 0000056, 0000065, 0000000, 0000000, 0000000, 0000000, 0000063, 0000000, 0000000, 0000005, 0000002, 0000000, 0000002
כרם שלום, 0001085, 0000095, 0000048, 0000000, 0000048, 0000018, 0000000, 0000002, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000002, 0000001, 0000006, 0000006, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000001, 0000000, 0000000
כרמי יוסף, 0001264, 0001418, 0001129, 0000007, 0001122, 0000584, 0000002, 0000002, 0000000, 0000000, 0000000, 0000040, 0000000, 0000000, 0000000, 0000000, 0000059, 0000011, 0000122, 0000129, 0000002, 0000000, 0000000, 0000000, 0000146, 0000000, 0000000, 0000011, 0000011, 0000001, 0000002
כרמי צור, 0003766, 0000529, 0000475, 0000000, 0000475, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000306, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000071, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000086, 0000000, 0000003
כרמיאל, 0001139, 0039888, 0025162, 0000435, 0024727, 0004328, 0000647, 0000318, 0000007, 0000003, 0000006, 0001367, 0000003, 0000004, 0000000, 0000003, 0002150, 0004532, 0006684, 0000435, 0000009, 0000003, 0000001, 0000058, 0002952, 0000011, 0000011, 0000359, 0000188, 0000032, 0000616
כרמיה, 0000768, 0000464, 0000356, 0000000, 0000356, 0000125, 0000000, 0000004, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000000, 0000028, 0000006, 0000062, 0000066, 0000000, 0000000, 0000000, 0000000, 0000032, 0000000, 0000002, 0000005, 0000003, 0000001, 0000003
כרמים, 0001198, 0000124, 0000095, 0000000, 0000095, 0000040, 0000000, 0000000, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000006, 0000013, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000
כרמל, 0003656, 0000263, 0000214, 0000000, 0000214, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000146, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000020, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000045, 0000000, 0000000, 0000000
לבון, 0001207, 0000347, 0000283, 0000002, 0000281, 0000120, 0000001, 0000000, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000023, 0000003, 0000041, 0000010, 0000000, 0000000, 0000000, 0000000, 0000064, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001
לביא, 0000585, 0000521, 0000386, 0000000, 0000386, 0000028, 0000001, 0000000, 0000000, 0000000, 0000000, 0000214, 0000000, 0000000, 0000000, 0000000, 0000009, 0000002, 0000086, 0000003, 0000001, 0000000, 0000001, 0000000, 0000017, 0000000, 0000000, 0000001, 0000019, 0000001, 0000003
לבנים, 0001230, 0000315, 0000222, 0000000, 0000222, 0000065, 0000001, 0000001, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000000, 0000000, 0000024, 0000006, 0000057, 0000010, 0000000, 0000000, 0000000, 0000000, 0000031, 0000000, 0000000, 0000004, 0000000, 0000000, 0000002
להב, 0002023, 0000407, 0000289, 0000000, 0000289, 0000140, 0000000, 0000003, 0000000, 0000000, 0000000, 0000004, 0000000, 0000001, 0000000, 0000000, 0000010, 0000001, 0000007, 0000080, 0000000, 0000000, 0000000, 0000000, 0000030, 0000000, 0000000, 0000010, 0000001, 0000001, 0000001
להבות הבשן, 0000380, 0000629, 0000463, 0000002, 0000461, 0000185, 0000001, 0000007, 0000000, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000000, 0000016, 0000009, 0000034, 0000139, 0000000, 0000000, 0000000, 0000000, 0000044, 0000000, 0000000, 0000006, 0000000, 0000001, 0000002
להבות חביבה, 0000715, 0000483, 0000383, 0000001, 0000382, 0000218, 0000000, 0000001, 0000000, 0000000, 0000001, 0000006, 0000000, 0000000, 0000000, 0000000, 0000019, 0000008, 0000011, 0000070, 0000000, 0000000, 0000000, 0000000, 0000044, 0000000, 0000000, 0000002, 0000000, 0000000, 0000002
להבים, 0001271, 0004740, 0003709, 0000005, 0003704, 0001406, 0000004, 0000046, 0000000, 0000001, 0000000, 0000164, 0000000, 0000000, 0000000, 0000000, 0000296, 0000073, 0000717, 0000233, 0000000, 0000000, 0000000, 0000000, 0000684, 0000000, 0000003, 0000031, 0000028, 0000001, 0000017
לוד, 0007000, 0052711, 0032461, 0000545, 0031916, 0002216, 0000275, 0005155, 0000010, 0000004, 0000006, 0002065, 0000010, 0000003, 0000000, 0000004, 0002472, 0003288, 0010460, 0000284, 0000012, 0000008, 0000017, 0000070, 0001757, 0000017, 0000020, 0000290, 0001444, 0000031, 0001998
לוזית, 0000052, 0000355, 0000276, 0000000, 0000276, 0000031, 0000017, 0000000, 0000000, 0000000, 0000000, 0000030, 0000000, 0000000, 0000000, 0000000, 0000015, 0000000, 0000105, 0000011, 0000000, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000001, 0000009, 0000000, 0000042
לוחמי הגיטאות, 0000595, 0000458, 0000347, 0000002, 0000345, 0000236, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000011, 0000006, 0000021, 0000027, 0000000, 0000000, 0000000, 0000001, 0000031, 0000000, 0000000, 0000003, 0000001, 0000000, 0000001
לוטם, 0001171, 0000413, 0000318, 0000002, 0000316, 0000160, 0000001, 0000005, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000017, 0000000, 0000010, 0000050, 0000000, 0000001, 0000000, 0000001, 0000060, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000
לוטן, 0001255, 0000138, 0000085, 0000002, 0000083, 0000040, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000002, 0000005, 0000004, 0000019, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000
לימן, 0000674, 0000499, 0000391, 0000001, 0000390, 0000130, 0000001, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000000, 0000000, 0000036, 0000006, 0000079, 0000006, 0000000, 0000000, 0000000, 0000000, 0000084, 0000000, 0000000, 0000008, 0000000, 0000000, 0000006
לכיש, 0000024, 0000491, 0000408, 0000003, 0000405, 0000238, 0000000, 0000001, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000008, 0000001, 0000018, 0000065, 0000000, 0000000, 0000000, 0000000, 0000055, 0000000, 0000000, 0000007, 0000000, 0000000, 0000001
לפיד, 0001310, 0001676, 0001320, 0000009, 0001311, 0000455, 0000002, 0000003, 0000000, 0000000, 0000001, 0000074, 0000000, 0000000, 0000000, 0000000, 0000185, 0000012, 0000213, 0000106, 0000000, 0000000, 0000000, 0000000, 0000217, 0000000, 0000000, 0000027, 0000011, 0000000, 0000005
לפידות, 0001173, 0000126, 0000093, 0000000, 0000093, 0000011, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000026, 0000000, 0000023, 0000006, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000002, 0000000, 0000000, 0000017
לקיה, 0001060, 0006012, 0002696, 0000046, 0002650, 0000013, 0000000, 0002420, 0000001, 0000001, 0000001, 0000002, 0000000, 0000000, 0000000, 0000015, 0000024, 0000002, 0000020, 0000064, 0000000, 0000001, 0000003, 0000042, 0000004, 0000000, 0000002, 0000000, 0000005, 0000001, 0000029
מאור, 0002055, 0000760, 0000612, 0000001, 0000611, 0000194, 0000001, 0000001, 0000000, 0000000, 0000000, 0000043, 0000000, 0000000, 0000000, 0000000, 0000059, 0000007, 0000153, 0000044, 0000001, 0000000, 0000000, 0000000, 0000073, 0000000, 0000000, 0000010, 0000012, 0000000, 0000013
מאיר שפיה, 0000102, 0000092, 0000049, 0000000, 0000049, 0000015, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000009, 0000001, 0000012, 0000008, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000
מבוא ביתר, 0000771, 0000496, 0000383, 0000004, 0000379, 0000074, 0000000, 0000000, 0000000, 0000000, 0000000, 0000038, 0000000, 0000000, 0000000, 0000000, 0000031, 0000005, 0000128, 0000019, 0000001, 0000000, 0000000, 0000000, 0000059, 0000000, 0000000, 0000005, 0000017, 0000001, 0000001
מבוא דותן, 0003569, 0000265, 0000169, 0000000, 0000169, 0000014, 0000001, 0000001, 0000000, 0000000, 0000000, 0000039, 0000000, 0000000, 0000000, 0000000, 0000008, 0000014, 0000073, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000004, 0000011, 0000000, 0000001
מבוא חורון, 0003709, 0000942, 0000861, 0000003, 0000858, 0000000, 0000032, 0000000, 0000000, 0000000, 0000000, 0000448, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000064, 0000001, 0000000, 0000000, 0000002, 0000000, 0000001, 0000000, 0000000, 0000000, 0000282, 0000000, 0000025
מבוא חמה, 0004204, 0000345, 0000242, 0000001, 0000241, 0000140, 0000001, 0000001, 0000000, 0000000, 0000001, 0000009, 0000000, 0000000, 0000000, 0000000, 0000011, 0000002, 0000020, 0000028, 0000000, 0000000, 0000000, 0000000, 0000026, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000
מבוא מודיעים, 0001141, 0000186, 0000122, 0000000, 0000122, 0000004, 0000011, 0000000, 0000000, 0000000, 0000000, 0000039, 0000000, 0000000, 0000000, 0000000, 0000008, 0000001, 0000037, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000016, 0000000, 0000004
מבועים, 0001080, 0000835, 0000611, 0000001, 0000610, 0000131, 0000003, 0000000, 0000000, 0000000, 0000000, 0000048, 0000000, 0000000, 0000000, 0000000, 0000050, 0000010, 0000232, 0000013, 0000000, 0000000, 0000000, 0000000, 0000073, 0000000, 0000001, 0000009, 0000015, 0000000, 0000025
מבטחים, 0000829, 0000367, 0000230, 0000002, 0000228, 0000035, 0000001, 0000000, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000000, 0000020, 0000003, 0000104, 0000002, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000000, 0000004, 0000006, 0000000, 0000021
מבקיעים, 0000573, 0000297, 0000233, 0000002, 0000231, 0000054, 0000001, 0000000, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000029, 0000003, 0000076, 0000002, 0000000, 0000000, 0000000, 0000000, 0000025, 0000000, 0000000, 0000008, 0000006, 0000000, 0000007
מבשרת ציון, 0001015, 0018713, 0014018, 0000072, 0013946, 0003724, 0000074, 0000023, 0000001, 0000000, 0000001, 0000759, 0000001, 0000000, 0000000, 0000001, 0001115, 0000175, 0004521, 0001070, 0000007, 0000001, 0000003, 0000001, 0001518, 0000001, 0000003, 0000105, 0000301, 0000005, 0000536
מג'ד אל-כרום, 0000516, 0008940, 0006691, 0000033, 0006658, 0000522, 0000000, 0005895, 0000000, 0000001, 0000000, 0000001, 0000000, 0000000, 0000000, 0000003, 0000007, 0000003, 0000011, 0000123, 0000002, 0000001, 0000004, 0000039, 0000008, 0000001, 0000003, 0000003, 0000003, 0000002, 0000026
מג'דל שמס, 0004201, 0000580, 0000114, 0000007, 0000107, 0000040, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000014, 0000002, 0000040, 0000004, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000002, 0000000, 0000000, 0000003
מגאר, 0000481, 0014173, 0006687, 0000116, 0006571, 0001058, 0000004, 0002580, 0000002, 0000004, 0000004, 0000037, 0000000, 0000001, 0000000, 0000003, 0000718, 0000809, 0000211, 0000136, 0000000, 0000001, 0000003, 0000042, 0000127, 0000003, 0000010, 0000018, 0000020, 0000001, 0000779
מגדים, 0000689, 0000775, 0000616, 0000007, 0000609, 0000169, 0000004, 0000000, 0000000, 0000000, 0000000, 0000024, 0000000, 0000000, 0000000, 0000000, 0000063, 0000007, 0000165, 0000028, 0000000, 0000000, 0000000, 0000000, 0000071, 0000000, 0000002, 0000008, 0000040, 0000003, 0000025
מגדל העמק, 0000874, 0020631, 0013496, 0000199, 0013297, 0001183, 0000158, 0000004, 0000001, 0000001, 0000002, 0000542, 0000000, 0000001, 0000000, 0000000, 0000984, 0002236, 0004642, 0000071, 0000004, 0000006, 0000004, 0000002, 0000815, 0000005, 0000014, 0000125, 0000675, 0000013, 0001809
מגדל עוז, 0003561, 0000240, 0000173, 0000000, 0000173, 0000002, 0000000, 0000001, 0000000, 0000000, 0000000, 0000126, 0000000, 0000000, 0000000, 0000000, 0000002, 0000001, 0000031, 0000003, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000
מגדל, 0000065, 0001269, 0000858, 0000002, 0000856, 0000082, 0000011, 0000002, 0000000, 0000000, 0000000, 0000045, 0000000, 0000000, 0000000, 0000000, 0000066, 0000010, 0000397, 0000006, 0000000, 0000000, 0000001, 0000000, 0000035, 0000000, 0000000, 0000009, 0000053, 0000000, 0000139
מגדלים, 0003751, 0000134, 0000093, 0000000, 0000093, 0000002, 0000000, 0000001, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000000, 0000000, 0000003, 0000007, 0000026, 0000002, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000008, 0000006, 0000000, 0000000
מגידו, 0000586, 0000585, 0000448, 0000000, 0000448, 0000235, 0000000, 0000002, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000027, 0000003, 0000030, 0000074, 0000000, 0000000, 0000000, 0000000, 0000062, 0000000, 0000000, 0000003, 0000001, 0000000, 0000000
